Artur Ranzenhofer
Olga Raphael-Linden
Endre Renner
Owen Reynolds
Arthur Ripley
Konstantin Rokossovsky
Virginia Ross
Edla Rothgardt
Hattie Russell
Armand Salacrou
Julia Sanderson
Eitarô Shindô
Russell Simpson
Carl Sjögren
O.P. Smith
Lillian Snyder
Antonio Somma
Peppino Spadaro
Harry Stubbs
Johan Rudolf Sundström
Mathias Taube
Herbert Thompson
Virginia Tracy
Hans Tügel
Kid Wagner
Billie West
Ralph Wheelwright
Grete Wiesenthal
Percival Wilde
Ted Wilde
Anton Wildgans
Verna Willis
Violette Wilson
H. Conway Wingfield
Mariya Yarotskaya
Lon Young
Hugh Ardale
Ernest Friderich
Arnost Grund
Arthur H. Compton
Marie Becvárová
Luiz Peixoto
Della Barnes
Lajos Boháty
Theresa Testa
J.H. Erkko
Hugo Kraus
Norman Cheyne
Ellen Reibold de La Tour
Carlo Veneziani
Hermann Leffler
Edith Sitwell
Bernd Lürgen
Ibolya Orbán
Morris E. Howlett
Neva Don Carlos
Katarzyna Zbikowska
Fletcher Henderson
Ben Shipman
Kasturba Gandhi
Oluf Ring
Billy Sunday
Ivan Novikov
R.T. Gould
Shigeru Shirai
Jirí Schreinzer
Kurt Uhlig
Jean Monnet
Cardinal Patrick Joseph Hayes
Frantisek Velebný
Eugenio Montale
Thomas Riddell
Lajos Gyõzõ
Pedro Sinzig
Günther Lütjens
Julius Haller
Doris Littel
Roman Zelazowski
Jenõ Forgács
Dorothy Lange
Rózsi Saáry
Bob Miller
Clemente Giglio
John Hammell
Leonard Grossman
Samson Noble
Nan Halperin
Folke Bernadotte
Kate Gilnagh
Chaim Soutine
Stuart Davis
David Livingstone
Leita F. Moore
Reinhold Eggers
Philip Sheridan
Abe Lefkowitz
Lt. Matthews
Eugene Lucas
Australia National Cricket Team
Miklós Szedõ
Ole Kirk Christiansen
Gyula Jeszenszky
Lawrence Abrott
Heikki Aho
Charlie Almlöf
Doris Altman
Martin Andersen Nexø
James Anderson
Lucien Arnaud
Murray Ashford
Pauline Aster
André Bacqué
Dora Baker
Milan Begovic
Maurice Belfer
F.H. Bickerton
Leo Birinsky
Leete Renick Brown
Heinrich Brüning
Wilfred Buckland
J. Frank Burke
Laura Burt
David Butler
Andrew J. Callaghan
Duilio Cambellotti
Helen Grace Carlisle
Albert Carroll
Louise Carter
Leonard Ceeley
August Cesarec
Renato Cialente
Ralph Cloninger
Humphrey Cobb
John Cook
Gene Crosby
Doyle Crossley
Lonnie D'Orsa
Felix Dahn
José Davert
Joseph E. Davies
Henry de Monfreid
Pauline de Palla
Eddie Dennis
Marguerite Deval
Homer Dietmeier
Everett Dirksen
Maxwell Dunn
Jack Edge
Homer C. Ellmaker
István Falussy
Freddie Forbes
Emilio Fornet
Guy du Fresnay
Bud Geary
Philip Gibbs
Fyodor Godovkin
Lew Golder
Pliny Goodfriend
Teddy Burns Goulet
Marion Gray
George Greenbaum
Willy Grunwald
Louis Hahn
Franz Halder
J.S. Harrington
Bucky Harris
Stella Wynne Herron
Enid Hibbard
Charles-Henry Hirsch
Edwin L. Hollywood
William J. Holmes
Clyde E. Hopkins
Carl Hovey
Sandro Inashvili
W.W. Jacobs
Georg Jacoby
M.R. James
Robert Edmond Jones
William Jossey
Davit Kakabadze
Willie Keeler
Burrell Kring
Vladimir Kryuger
José María Lacalle
Isabel Lamon
Milton Lazarus
Charles Le Goffic
Victor Le Roy
Yvonne Legeay
Marija Leiko
Vladimir Lenin
Marion Leonard
Louise Lester
Viggo Lindstrøm
Jane Loofbourrow
L.C. MacBean
István Major
Jean Marsac
Arthur Matthews
Charles McCann
Guthrie McClintic
Mathew McCue
Joseph A. McDonough
Naresh Mitra
Gustaf Molin
Henry Morey
Mylos
Pál Nádai
Beth Nagel
Gabriel Nelidov-Frenkel
Robert Neumann
André Nicolle
William Elwell Oliver
Bertus Onstee
Don F. Osborne
Gertrude Page
Jessie Perry
Edwin R. Phillips
Archie Pitt
Aleksei Popov
Boris Poslavsky
Eva Puig
Emma Ray
Irena Renardówna
Harrison Garfield Rhodes
José Eustasio Rivera
Manuel Romero
Franklin D. Roosevelt
Emile de Ruelle
Juan Sarcione
J.W. Schleiff
Hanns Schwarz
Aleksandr Shatov
Georgia Simmons
William Sistrom
Eugen Skjønberg
Leo Slezak
F. Percy Smith
Carl Spaatz
Joseph Spillman
Jozef Sterkens
Henry Stone
Max Tak
Charles Tilson-Chowne
Howard Truesdale
Antionette Van Dijk
Art Van Harvey
Károly Vass
Georgi Vasilyev
Una Venning
Nina Visaroff
Helene von Bolvary
Gustav von Wangenheim
Sidney J. Walsh
Wilhelm Walter
Fannie Ward
Mrs. Humphrey Ward
Maurine Dallas Watkins
Mrs. Weintraub
Billy Wells
Al Wesslen
Emma Wiehe
Fred Wright
Tommy Milton
Cassie Livesey
A. Baldwin Sloane
Manuel Díaz Rodríguez
J.P. Webster
Harriett Bennett
Charles Knuske
Émile Servan-Schreiber
